feature,importance
glcm_energy,0.021551724137930994
lacunarity_slope,0.007334487714755233
mean_fleck_area,0.0
fleck_solidity,0.0
orientation_dispersion,0.0
median_fleck_area,0.0
mi_align_component,0.0
steak_coverage_pct,-0.0009632522158378287
orientation_anisotropy,-0.0010870340645621535
lacunarity_mean,-0.010583829037232918
mi_lac_component,-0.012347800543438403
n_flecks,-0.014404453224677972
glcm_homogeneity,-0.021422282126684587
area_pct,-0.022824168999705696
glcm_contrast,-0.023795693029507257
glcm_correlation,-0.025498614474662673
marbling_index,-0.028856235114892013
meat_pct,-0.03288455547313566
fat_within_steak_pct,-0.03521769187078818
mi_fat_component,-0.037494726430431446
